ID Produto,Data atualização,Quantidade
1,1-jan.-2019,432
2,1-jan.-2019,412
3,1-jan.-2019,417
4,1-jan.-2019,438
5,1-jan.-2019,416
6,1-jan.-2019,437
7,1-jan.-2019,428
8,1-jan.-2019,426
9,1-jan.-2019,414
10,1-jan.-2019,436
11,1-jan.-2019,437
12,1-jan.-2019,449
13,1-jan.-2019,430
14,1-jan.-2019,410
15,1-jan.-2019,417
16,1-jan.-2019,415
17,1-jan.-2019,407
18,1-jan.-2019,411
19,1-jan.-2019,406
20,1-jan.-2019,414
21,1-jan.-2019,435
22,1-jan.-2019,414
23,1-jan.-2019,403
24,1-jan.-2019,406
25,1-jan.-2019,400
26,1-jan.-2019,441
27,1-jan.-2019,421
28,1-jan.-2019,441
29,1-jan.-2019,424
30,1-jan.-2019,450
31,1-jan.-2019,422
32,1-jan.-2019,415
33,1-jan.-2019,440
34,1-jan.-2019,416
35,1-jan.-2019,401
36,1-jan.-2019,440
37,1-jan.-2019,444
38,1-jan.-2019,401
39,1-jan.-2019,447
40,1-jan.-2019,405
41,1-jan.-2019,439
42,1-jan.-2019,446
43,1-jan.-2019,437
44,1-jan.-2019,440
45,1-jan.-2019,400
46,1-jan.-2019,433
47,1-jan.-2019,411
48,1-jan.-2019,438
49,1-jan.-2019,402
50,1-jan.-2019,432
51,1-jan.-2019,423
52,1-jan.-2019,401
53,1-jan.-2019,442
54,1-jan.-2019,438
55,1-jan.-2019,407
56,1-jan.-2019,443
57,1-jan.-2019,442
58,1-jan.-2019,422
59,1-jan.-2019,405
60,1-jan.-2019,443
61,1-jan.-2019,412
62,1-jan.-2019,422
63,1-jan.-2019,406
64,1-jan.-2019,432
65,1-jan.-2019,406
66,1-jan.-2019,445
1,1-fev.-2019,402
2,1-fev.-2019,414
3,1-fev.-2019,445
4,1-fev.-2019,435
5,1-fev.-2019,418
6,1-fev.-2019,422
7,1-fev.-2019,418
8,1-fev.-2019,405
9,1-fev.-2019,401
10,1-fev.-2019,449
11,1-fev.-2019,433
12,1-fev.-2019,445
13,1-fev.-2019,421
14,1-fev.-2019,450
15,1-fev.-2019,442
16,1-fev.-2019,433
17,1-fev.-2019,421
18,1-fev.-2019,438
19,1-fev.-2019,432
20,1-fev.-2019,405
21,1-fev.-2019,438
22,1-fev.-2019,440
23,1-fev.-2019,448
24,1-fev.-2019,424
25,1-fev.-2019,439
26,1-fev.-2019,429
27,1-fev.-2019,416
28,1-fev.-2019,418
29,1-fev.-2019,432
30,1-fev.-2019,407
31,1-fev.-2019,410
32,1-fev.-2019,444
33,1-fev.-2019,441
34,1-fev.-2019,427
35,1-fev.-2019,400
36,1-fev.-2019,444
37,1-fev.-2019,400
38,1-fev.-2019,407
39,1-fev.-2019,409
40,1-fev.-2019,450
41,1-fev.-2019,435
42,1-fev.-2019,449
43,1-fev.-2019,429
44,1-fev.-2019,400
45,1-fev.-2019,411
46,1-fev.-2019,433
47,1-fev.-2019,409
48,1-fev.-2019,444
49,1-fev.-2019,406
50,1-fev.-2019,443
51,1-fev.-2019,439
52,1-fev.-2019,420
53,1-fev.-2019,446
54,1-fev.-2019,448
55,1-fev.-2019,416
56,1-fev.-2019,416
57,1-fev.-2019,409
58,1-fev.-2019,438
59,1-fev.-2019,441
60,1-fev.-2019,450
61,1-fev.-2019,429
62,1-fev.-2019,404
63,1-fev.-2019,410
64,1-fev.-2019,409
65,1-fev.-2019,407
66,1-fev.-2019,445
1,1-mar.-2019,425
2,1-mar.-2019,439
3,1-mar.-2019,424
4,1-mar.-2019,403
5,1-mar.-2019,431
6,1-mar.-2019,437
7,1-mar.-2019,450
8,1-mar.-2019,417
9,1-mar.-2019,406
10,1-mar.-2019,412
11,1-mar.-2019,442
12,1-mar.-2019,426
13,1-mar.-2019,411
14,1-mar.-2019,433
15,1-mar.-2019,431
16,1-mar.-2019,424
17,1-mar.-2019,436
18,1-mar.-2019,445
19,1-mar.-2019,447
20,1-mar.-2019,423
21,1-mar.-2019,429
22,1-mar.-2019,409
23,1-mar.-2019,433
24,1-mar.-2019,407
25,1-mar.-2019,425
26,1-mar.-2019,421
27,1-mar.-2019,409
28,1-mar.-2019,433
29,1-mar.-2019,432
30,1-mar.-2019,435
31,1-mar.-2019,449
32,1-mar.-2019,414
33,1-mar.-2019,408
34,1-mar.-2019,405
35,1-mar.-2019,416
36,1-mar.-2019,416
37,1-mar.-2019,403
38,1-mar.-2019,410
39,1-mar.-2019,405
40,1-mar.-2019,440
41,1-mar.-2019,420
42,1-mar.-2019,448
43,1-mar.-2019,409
44,1-mar.-2019,441
45,1-mar.-2019,431
46,1-mar.-2019,406
47,1-mar.-2019,420
48,1-mar.-2019,441
49,1-mar.-2019,409
50,1-mar.-2019,427
51,1-mar.-2019,450
52,1-mar.-2019,417
53,1-mar.-2019,425
54,1-mar.-2019,450
55,1-mar.-2019,430
56,1-mar.-2019,406
57,1-mar.-2019,446
58,1-mar.-2019,443
59,1-mar.-2019,403
60,1-mar.-2019,448
61,1-mar.-2019,428
62,1-mar.-2019,449
63,1-mar.-2019,447
64,1-mar.-2019,449
65,1-mar.-2019,425
66,1-mar.-2019,415
1,1-abr.-2019,424
2,1-abr.-2019,444
3,1-abr.-2019,434
4,1-abr.-2019,449
5,1-abr.-2019,417
6,1-abr.-2019,426
7,1-abr.-2019,409
8,1-abr.-2019,425
9,1-abr.-2019,436
10,1-abr.-2019,424
11,1-abr.-2019,419
12,1-abr.-2019,420
13,1-abr.-2019,450
14,1-abr.-2019,439
15,1-abr.-2019,406
16,1-abr.-2019,443
17,1-abr.-2019,438
18,1-abr.-2019,445
19,1-abr.-2019,404
20,1-abr.-2019,421
21,1-abr.-2019,403
22,1-abr.-2019,446
23,1-abr.-2019,424
24,1-abr.-2019,442
25,1-abr.-2019,418
26,1-abr.-2019,403
27,1-abr.-2019,407
28,1-abr.-2019,416
29,1-abr.-2019,400
30,1-abr.-2019,424
31,1-abr.-2019,416
32,1-abr.-2019,431
33,1-abr.-2019,441
34,1-abr.-2019,446
35,1-abr.-2019,444
36,1-abr.-2019,440
37,1-abr.-2019,412
38,1-abr.-2019,440
39,1-abr.-2019,432
40,1-abr.-2019,435
41,1-abr.-2019,413
42,1-abr.-2019,435
43,1-abr.-2019,409
44,1-abr.-2019,432
45,1-abr.-2019,408
46,1-abr.-2019,413
47,1-abr.-2019,438
48,1-abr.-2019,423
49,1-abr.-2019,444
50,1-abr.-2019,430
51,1-abr.-2019,438
52,1-abr.-2019,422
53,1-abr.-2019,440
54,1-abr.-2019,431
55,1-abr.-2019,413
56,1-abr.-2019,403
57,1-abr.-2019,413
58,1-abr.-2019,433
59,1-abr.-2019,438
60,1-abr.-2019,447
61,1-abr.-2019,414
62,1-abr.-2019,422
63,1-abr.-2019,425
64,1-abr.-2019,411
65,1-abr.-2019,419
66,1-abr.-2019,422
1,1-mai.-2019,433
2,1-mai.-2019,431
3,1-mai.-2019,449
4,1-mai.-2019,418
5,1-mai.-2019,431
6,1-mai.-2019,445
7,1-mai.-2019,420
8,1-mai.-2019,444
9,1-mai.-2019,447
10,1-mai.-2019,422
11,1-mai.-2019,448
12,1-mai.-2019,444
13,1-mai.-2019,446
14,1-mai.-2019,431
15,1-mai.-2019,400
16,1-mai.-2019,441
17,1-mai.-2019,406
18,1-mai.-2019,442
19,1-mai.-2019,411
20,1-mai.-2019,412
21,1-mai.-2019,449
22,1-mai.-2019,419
23,1-mai.-2019,435
24,1-mai.-2019,430
25,1-mai.-2019,427
26,1-mai.-2019,441
27,1-mai.-2019,436
28,1-mai.-2019,445
29,1-mai.-2019,445
30,1-mai.-2019,418
31,1-mai.-2019,407
32,1-mai.-2019,427
33,1-mai.-2019,448
34,1-mai.-2019,421
35,1-mai.-2019,425
36,1-mai.-2019,433
37,1-mai.-2019,408
38,1-mai.-2019,420
39,1-mai.-2019,432
40,1-mai.-2019,406
41,1-mai.-2019,401
42,1-mai.-2019,446
43,1-mai.-2019,438
44,1-mai.-2019,403
45,1-mai.-2019,413
46,1-mai.-2019,411
47,1-mai.-2019,440
48,1-mai.-2019,434
49,1-mai.-2019,406
50,1-mai.-2019,439
51,1-mai.-2019,437
52,1-mai.-2019,404
53,1-mai.-2019,431
54,1-mai.-2019,439
55,1-mai.-2019,407
56,1-mai.-2019,443
57,1-mai.-2019,435
58,1-mai.-2019,403
59,1-mai.-2019,450
60,1-mai.-2019,405
61,1-mai.-2019,438
62,1-mai.-2019,416
63,1-mai.-2019,428
64,1-mai.-2019,407
65,1-mai.-2019,440
66,1-mai.-2019,413
1,1-jun.-2019,414
2,1-jun.-2019,428
3,1-jun.-2019,421
4,1-jun.-2019,418
5,1-jun.-2019,448
6,1-jun.-2019,413
7,1-jun.-2019,418
8,1-jun.-2019,423
9,1-jun.-2019,424
10,1-jun.-2019,419
11,1-jun.-2019,409
12,1-jun.-2019,414
13,1-jun.-2019,410
14,1-jun.-2019,419
15,1-jun.-2019,427
16,1-jun.-2019,419
17,1-jun.-2019,415
18,1-jun.-2019,449
19,1-jun.-2019,413
20,1-jun.-2019,449
21,1-jun.-2019,405
22,1-jun.-2019,408
23,1-jun.-2019,405
24,1-jun.-2019,407
25,1-jun.-2019,425
26,1-jun.-2019,408
27,1-jun.-2019,404
28,1-jun.-2019,407
29,1-jun.-2019,418
30,1-jun.-2019,414
31,1-jun.-2019,400
32,1-jun.-2019,435
33,1-jun.-2019,409
34,1-jun.-2019,449
35,1-jun.-2019,415
36,1-jun.-2019,428
37,1-jun.-2019,431
38,1-jun.-2019,421
39,1-jun.-2019,417
40,1-jun.-2019,429
41,1-jun.-2019,411
42,1-jun.-2019,411
43,1-jun.-2019,442
44,1-jun.-2019,436
45,1-jun.-2019,433
46,1-jun.-2019,428
47,1-jun.-2019,419
48,1-jun.-2019,426
49,1-jun.-2019,435
50,1-jun.-2019,407
51,1-jun.-2019,420
52,1-jun.-2019,425
53,1-jun.-2019,415
54,1-jun.-2019,447
55,1-jun.-2019,401
56,1-jun.-2019,437
57,1-jun.-2019,443
58,1-jun.-2019,442
59,1-jun.-2019,435
60,1-jun.-2019,444
61,1-jun.-2019,406
62,1-jun.-2019,447
63,1-jun.-2019,435
64,1-jun.-2019,442
65,1-jun.-2019,423
66,1-jun.-2019,447
1,1-jul.-2019,409
2,1-jul.-2019,425
3,1-jul.-2019,424
4,1-jul.-2019,415
5,1-jul.-2019,436
6,1-jul.-2019,424
7,1-jul.-2019,408
8,1-jul.-2019,423
9,1-jul.-2019,424
10,1-jul.-2019,436
11,1-jul.-2019,438
12,1-jul.-2019,436
13,1-jul.-2019,428
14,1-jul.-2019,403
15,1-jul.-2019,427
16,1-jul.-2019,427
17,1-jul.-2019,427
18,1-jul.-2019,414
19,1-jul.-2019,430
20,1-jul.-2019,450
21,1-jul.-2019,421
22,1-jul.-2019,414
23,1-jul.-2019,409
24,1-jul.-2019,433
25,1-jul.-2019,450
26,1-jul.-2019,445
27,1-jul.-2019,420
28,1-jul.-2019,437
29,1-jul.-2019,408
30,1-jul.-2019,434
31,1-jul.-2019,436
32,1-jul.-2019,406
33,1-jul.-2019,407
34,1-jul.-2019,416
35,1-jul.-2019,430
36,1-jul.-2019,419
37,1-jul.-2019,418
38,1-jul.-2019,441
39,1-jul.-2019,449
40,1-jul.-2019,411
41,1-jul.-2019,431
42,1-jul.-2019,450
43,1-jul.-2019,432
44,1-jul.-2019,420
45,1-jul.-2019,424
46,1-jul.-2019,449
47,1-jul.-2019,414
48,1-jul.-2019,419
49,1-jul.-2019,404
50,1-jul.-2019,442
51,1-jul.-2019,441
52,1-jul.-2019,414
53,1-jul.-2019,442
54,1-jul.-2019,409
55,1-jul.-2019,414
56,1-jul.-2019,409
57,1-jul.-2019,424
58,1-jul.-2019,450
59,1-jul.-2019,428
60,1-jul.-2019,408
61,1-jul.-2019,405
62,1-jul.-2019,400
63,1-jul.-2019,427
64,1-jul.-2019,418
65,1-jul.-2019,416
66,1-jul.-2019,422
1,1-ago.-2019,410
2,1-ago.-2019,434
3,1-ago.-2019,450
4,1-ago.-2019,413
5,1-ago.-2019,405
6,1-ago.-2019,423
7,1-ago.-2019,443
8,1-ago.-2019,440
9,1-ago.-2019,427
10,1-ago.-2019,427
11,1-ago.-2019,417
12,1-ago.-2019,437
13,1-ago.-2019,445
14,1-ago.-2019,418
15,1-ago.-2019,428
16,1-ago.-2019,414
17,1-ago.-2019,418
18,1-ago.-2019,420
19,1-ago.-2019,418
20,1-ago.-2019,446
21,1-ago.-2019,419
22,1-ago.-2019,412
23,1-ago.-2019,411
24,1-ago.-2019,449
25,1-ago.-2019,400
26,1-ago.-2019,443
27,1-ago.-2019,441
28,1-ago.-2019,400
29,1-ago.-2019,402
30,1-ago.-2019,447
31,1-ago.-2019,424
32,1-ago.-2019,441
33,1-ago.-2019,414
34,1-ago.-2019,443
35,1-ago.-2019,424
36,1-ago.-2019,430
37,1-ago.-2019,448
38,1-ago.-2019,440
39,1-ago.-2019,436
40,1-ago.-2019,404
41,1-ago.-2019,450
42,1-ago.-2019,409
43,1-ago.-2019,447
44,1-ago.-2019,417
45,1-ago.-2019,447
46,1-ago.-2019,449
47,1-ago.-2019,435
48,1-ago.-2019,435
49,1-ago.-2019,441
50,1-ago.-2019,447
51,1-ago.-2019,444
52,1-ago.-2019,431
53,1-ago.-2019,421
54,1-ago.-2019,422
55,1-ago.-2019,405
56,1-ago.-2019,423
57,1-ago.-2019,405
58,1-ago.-2019,405
59,1-ago.-2019,426
60,1-ago.-2019,407
61,1-ago.-2019,421
62,1-ago.-2019,410
63,1-ago.-2019,427
64,1-ago.-2019,429
65,1-ago.-2019,439
66,1-ago.-2019,442
1,1-set.-2019,427
2,1-set.-2019,421
3,1-set.-2019,404
4,1-set.-2019,433
5,1-set.-2019,408
6,1-set.-2019,420
7,1-set.-2019,417
8,1-set.-2019,423
9,1-set.-2019,409
10,1-set.-2019,404
11,1-set.-2019,418
12,1-set.-2019,415
13,1-set.-2019,407
14,1-set.-2019,436
15,1-set.-2019,436
16,1-set.-2019,407
17,1-set.-2019,433
18,1-set.-2019,448
19,1-set.-2019,450
20,1-set.-2019,412
21,1-set.-2019,434
22,1-set.-2019,426
23,1-set.-2019,418
24,1-set.-2019,403
25,1-set.-2019,423
26,1-set.-2019,439
27,1-set.-2019,446
28,1-set.-2019,406
29,1-set.-2019,404
30,1-set.-2019,400
31,1-set.-2019,404
32,1-set.-2019,421
33,1-set.-2019,419
34,1-set.-2019,450
35,1-set.-2019,418
36,1-set.-2019,447
37,1-set.-2019,400
38,1-set.-2019,408
39,1-set.-2019,446
40,1-set.-2019,437
41,1-set.-2019,410
42,1-set.-2019,419
43,1-set.-2019,449
44,1-set.-2019,400
45,1-set.-2019,443
46,1-set.-2019,444
47,1-set.-2019,441
48,1-set.-2019,411
49,1-set.-2019,429
50,1-set.-2019,447
51,1-set.-2019,416
52,1-set.-2019,435
53,1-set.-2019,426
54,1-set.-2019,403
55,1-set.-2019,410
56,1-set.-2019,417
57,1-set.-2019,438
58,1-set.-2019,445
59,1-set.-2019,411
60,1-set.-2019,401
61,1-set.-2019,423
62,1-set.-2019,424
63,1-set.-2019,445
64,1-set.-2019,409
65,1-set.-2019,447
66,1-set.-2019,421
1,1-out.-2019,410
2,1-out.-2019,428
3,1-out.-2019,435
4,1-out.-2019,404
5,1-out.-2019,430
6,1-out.-2019,427
7,1-out.-2019,448
8,1-out.-2019,410
9,1-out.-2019,430
10,1-out.-2019,415
11,1-out.-2019,439
12,1-out.-2019,407
13,1-out.-2019,434
14,1-out.-2019,429
15,1-out.-2019,427
16,1-out.-2019,447
17,1-out.-2019,433
18,1-out.-2019,448
19,1-out.-2019,443
20,1-out.-2019,414
21,1-out.-2019,420
22,1-out.-2019,402
23,1-out.-2019,435
24,1-out.-2019,415
25,1-out.-2019,407
26,1-out.-2019,420
27,1-out.-2019,416
28,1-out.-2019,420
29,1-out.-2019,408
30,1-out.-2019,414
31,1-out.-2019,448
32,1-out.-2019,401
33,1-out.-2019,426
34,1-out.-2019,409
35,1-out.-2019,424
36,1-out.-2019,418
37,1-out.-2019,417
38,1-out.-2019,403
39,1-out.-2019,414
40,1-out.-2019,429
41,1-out.-2019,423
42,1-out.-2019,434
43,1-out.-2019,427
44,1-out.-2019,450
45,1-out.-2019,417
46,1-out.-2019,404
47,1-out.-2019,410
48,1-out.-2019,412
49,1-out.-2019,402
50,1-out.-2019,424
51,1-out.-2019,433
52,1-out.-2019,432
53,1-out.-2019,447
54,1-out.-2019,401
55,1-out.-2019,421
56,1-out.-2019,402
57,1-out.-2019,404
58,1-out.-2019,416
59,1-out.-2019,440
60,1-out.-2019,407
61,1-out.-2019,417
62,1-out.-2019,413
63,1-out.-2019,414
64,1-out.-2019,432
65,1-out.-2019,414
66,1-out.-2019,402
1,1-nov.-2019,408
2,1-nov.-2019,438
3,1-nov.-2019,403
4,1-nov.-2019,441
5,1-nov.-2019,430
6,1-nov.-2019,429
7,1-nov.-2019,405
8,1-nov.-2019,433
9,1-nov.-2019,427
10,1-nov.-2019,446
11,1-nov.-2019,408
12,1-nov.-2019,450
13,1-nov.-2019,414
14,1-nov.-2019,415
15,1-nov.-2019,412
16,1-nov.-2019,412
17,1-nov.-2019,438
18,1-nov.-2019,421
19,1-nov.-2019,433
20,1-nov.-2019,429
21,1-nov.-2019,442
22,1-nov.-2019,413
23,1-nov.-2019,443
24,1-nov.-2019,409
25,1-nov.-2019,430
26,1-nov.-2019,447
27,1-nov.-2019,433
28,1-nov.-2019,416
29,1-nov.-2019,434
30,1-nov.-2019,407
31,1-nov.-2019,449
32,1-nov.-2019,443
33,1-nov.-2019,428
34,1-nov.-2019,449
35,1-nov.-2019,447
36,1-nov.-2019,446
37,1-nov.-2019,445
38,1-nov.-2019,443
39,1-nov.-2019,426
40,1-nov.-2019,441
41,1-nov.-2019,426
42,1-nov.-2019,415
43,1-nov.-2019,418
44,1-nov.-2019,435
45,1-nov.-2019,443
46,1-nov.-2019,401
47,1-nov.-2019,401
48,1-nov.-2019,428
49,1-nov.-2019,446
50,1-nov.-2019,443
51,1-nov.-2019,413
52,1-nov.-2019,444
53,1-nov.-2019,422
54,1-nov.-2019,434
55,1-nov.-2019,425
56,1-nov.-2019,405
57,1-nov.-2019,437
58,1-nov.-2019,429
59,1-nov.-2019,432
60,1-nov.-2019,442
61,1-nov.-2019,443
62,1-nov.-2019,431
63,1-nov.-2019,424
64,1-nov.-2019,428
65,1-nov.-2019,438
66,1-nov.-2019,435
1,1-dez.-2019,428
2,1-dez.-2019,405
3,1-dez.-2019,430
4,1-dez.-2019,411
5,1-dez.-2019,419
6,1-dez.-2019,415
7,1-dez.-2019,436
8,1-dez.-2019,439
9,1-dez.-2019,429
10,1-dez.-2019,410
11,1-dez.-2019,422
12,1-dez.-2019,430
13,1-dez.-2019,422
14,1-dez.-2019,433
15,1-dez.-2019,431
16,1-dez.-2019,420
17,1-dez.-2019,435
18,1-dez.-2019,448
19,1-dez.-2019,427
20,1-dez.-2019,444
21,1-dez.-2019,437
22,1-dez.-2019,404
23,1-dez.-2019,443
24,1-dez.-2019,401
25,1-dez.-2019,430
26,1-dez.-2019,428
27,1-dez.-2019,416
28,1-dez.-2019,421
29,1-dez.-2019,413
30,1-dez.-2019,436
31,1-dez.-2019,445
32,1-dez.-2019,411
33,1-dez.-2019,403
34,1-dez.-2019,418
35,1-dez.-2019,421
36,1-dez.-2019,441
37,1-dez.-2019,431
38,1-dez.-2019,444
39,1-dez.-2019,401
40,1-dez.-2019,437
41,1-dez.-2019,413
42,1-dez.-2019,413
43,1-dez.-2019,407
44,1-dez.-2019,412
45,1-dez.-2019,449
46,1-dez.-2019,438
47,1-dez.-2019,445
48,1-dez.-2019,412
49,1-dez.-2019,417
50,1-dez.-2019,424
51,1-dez.-2019,445
52,1-dez.-2019,404
53,1-dez.-2019,427
54,1-dez.-2019,420
55,1-dez.-2019,443
56,1-dez.-2019,449
57,1-dez.-2019,418
58,1-dez.-2019,429
59,1-dez.-2019,430
60,1-dez.-2019,418
61,1-dez.-2019,401
62,1-dez.-2019,437
63,1-dez.-2019,432
64,1-dez.-2019,435
65,1-dez.-2019,446
66,1-dez.-2019,424
1,1-jan.-2020,470
2,1-jan.-2020,501
3,1-jan.-2020,594
4,1-jan.-2020,472
5,1-jan.-2020,532
6,1-jan.-2020,548
7,1-jan.-2020,402
8,1-jan.-2020,407
9,1-jan.-2020,547
10,1-jan.-2020,446
11,1-jan.-2020,462
12,1-jan.-2020,470
13,1-jan.-2020,591
14,1-jan.-2020,445
15,1-jan.-2020,495
16,1-jan.-2020,544
17,1-jan.-2020,423
18,1-jan.-2020,423
19,1-jan.-2020,572
20,1-jan.-2020,520
21,1-jan.-2020,517
22,1-jan.-2020,584
23,1-jan.-2020,406
24,1-jan.-2020,474
25,1-jan.-2020,437
26,1-jan.-2020,562
27,1-jan.-2020,517
28,1-jan.-2020,522
29,1-jan.-2020,445
30,1-jan.-2020,439
31,1-jan.-2020,431
32,1-jan.-2020,442
33,1-jan.-2020,415
34,1-jan.-2020,480
35,1-jan.-2020,456
36,1-jan.-2020,411
37,1-jan.-2020,511
38,1-jan.-2020,491
39,1-jan.-2020,418
40,1-jan.-2020,581
41,1-jan.-2020,500
42,1-jan.-2020,470
43,1-jan.-2020,506
44,1-jan.-2020,592
45,1-jan.-2020,539
46,1-jan.-2020,572
47,1-jan.-2020,562
48,1-jan.-2020,496
49,1-jan.-2020,454
50,1-jan.-2020,564
51,1-jan.-2020,568
52,1-jan.-2020,497
53,1-jan.-2020,410
54,1-jan.-2020,508
55,1-jan.-2020,587
56,1-jan.-2020,578
57,1-jan.-2020,472
58,1-jan.-2020,536
59,1-jan.-2020,509
60,1-jan.-2020,534
61,1-jan.-2020,549
62,1-jan.-2020,449
63,1-jan.-2020,532
64,1-jan.-2020,436
65,1-jan.-2020,556
66,1-jan.-2020,590
1,1-fev.-2020,484
2,1-fev.-2020,428
3,1-fev.-2020,525
4,1-fev.-2020,455
5,1-fev.-2020,496
6,1-fev.-2020,445
7,1-fev.-2020,536
8,1-fev.-2020,400
9,1-fev.-2020,414
10,1-fev.-2020,587
11,1-fev.-2020,429
12,1-fev.-2020,600
13,1-fev.-2020,411
14,1-fev.-2020,420
15,1-fev.-2020,449
16,1-fev.-2020,556
17,1-fev.-2020,447
18,1-fev.-2020,558
19,1-fev.-2020,567
20,1-fev.-2020,446
21,1-fev.-2020,507
22,1-fev.-2020,561
23,1-fev.-2020,492
24,1-fev.-2020,474
25,1-fev.-2020,496
26,1-fev.-2020,590
27,1-fev.-2020,495
28,1-fev.-2020,554
29,1-fev.-2020,507
30,1-fev.-2020,515
31,1-fev.-2020,482
32,1-fev.-2020,573
