ID veículos,Tipo,Status
VEH01,carro,Ocupado
VEH02,carro,Ocupado
VEH03,caminhonete,Ocupado
VEH04,caminhonete,Ocupado
VEH05,carro,Ocupado
VEH06,moto,Ocupado
VEH07,carro,Ocupado
VEH08,moto,Ocupado
VEH09,caminhonete,Ocupado
VEH10,moto,Ocupado
VEH11,moto,Ocupado
VEH12,carro,Ocupado
VEH13,moto,Ocupado
VEH14,moto,Ocupado
VEH15,caminhonete,Ocupado
VEH16,caminhonete,Ocupado
VEH17,caminhonete,Ocupado
VEH18,moto,Ocupado
VEH19,carro,Ocupado
VEH20,carro,Ocupado
VEH21,caminhonete,Ocupado
VEH22,carro,Ocupado
VEH23,caminhonete,Ocupado
VEH24,moto,Ocupado
VEH25,caminhonete,Ocupado
VEH26,caminhonete,Ocupado
VEH27,moto,Ocupado
VEH28,caminhonete,Ocupado
VEH29,carro,Ocupado
VEH30,moto,Ocupado
VEH31,moto,Ocupado
VEH32,carro,Ocupado
VEH33,carro,Ocupado
VEH34,carro,Ocupado
VEH35,caminhonete,Ocupado
VEH36,carro,Ocupado
VEH37,carro,Ocupado
VEH38,caminhonete,Ocupado
VEH39,moto,Ocupado
VEH40,caminhonete,Ocupado
VEH41,moto,Ocupado
VEH42,moto,Ocupado
VEH43,carro,Disponível
VEH44,caminhonete,Disponível
VEH45,carro,Disponível
VEH46,caminhonete,Disponível
VEH47,carro,Disponível
VEH48,caminhonete,Disponível
VEH49,carro,Disponível
VEH50,caminhonete,Disponível